date,class,professor,prof_g_p,q_or_a,student_g_p,time,cont_call,number_m_p,number_w_p
11/14/18,206,Allison,w,q,m,2,0,,
11/14/18,206,Allison,w,q,w,3,0,,
11/14/18,206,Allison,w,q,m,3,0,,
11/19/18,206,Allison,w,q,m,2,0,1,1
11/19/18,206,Allison,w,q,w,2,0,,
11/19/18,206,Allison,w,q,w,2,0,,
11/19/18,206,Allison,w,q,m,2,0,,
11/19/18,206,Allison,w,q,w,3,0,,
11/19/18,206,Allison,w,q,w,3,0,,
11/19/18,206,Allison,w,q,w,3,0,,
11/26/18,206,Allison,w,q,m,1,0,,
11/26/18,206,Allison,w,q,m,1,0,,
11/26/18,206,Allison,w,q,m,1,0,,
11/26/18,206,Allison,w,a,w,1,0,,
11/26/18,206,Allison,w,q,w,2,0,,
11/26/18,206,Allison,w,q,m,2,0,,
11/26/18,206,Allison,w,q,w,2,0,,
11/26/18,206,Allison,w,q,m,2,0,,
11/26/18,206,Allison,w,q,w,2,1,1,1
11/26/18,206,Allison,w,q,m,2,0,,
11/26/18,206,Allison,w,q,w,2,0,,
11/26/18,206,Allison,w,q,m,2,0,,
11/26/18,206,Allison,w,q,m,2,0,,
11/26/18,206,Allison,w,q,w,3,0,,
11/26/18,206,Allison,w,q,w,3,0,,
11/26/18,206,Allison,w,q,w,3,0,,
11/26/18,206,Allison,w,q,w,3,0,,
11/26/18,206,Allison,w,q,w,3,0,,
11/26/18,206,Allison,w,q,m,3,0,,
11/26/18,206,Allison,w,q,w,3,0,,
11/28/18,206,Allison,w,q,w,1,0,,
11/28/18,206,Allison,w,q,w,2,0,,
11/28/18,206,Allison,w,q,m,2,0,,
11/28/18,206,Allison,w,q,m,2,0,,
11/28/18,206,Allison,w,q,w,2,0,,
11/28/18,206,Allison,w,q,w,2,0,,
11/28/18,206,Allison,w,q,w,2,0,,
11/28/18,206,Allison,w,q,m,2,0,,
11/28/18,206,Allison,w,q,w,2,0,,
11/28/18,206,Allison,w,q,m,3,0,,
11/28/18,206,Allison,w,q,w,3,0,,
12/3/18,206,Allison,w,q,w,1,0,,
12/3/18,206,Allison,w,q,w,1,0,,
